basis_order,basis_field_order,ω,R,particle_radius,c_particle,ρ_particle,separation_ratio,volume_fraction,μ,σ,nb_iterations,μeff,μeff0
5,4,0.1,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.01492674166963194 + 0.10072070875679855im,-0.01340971003831086 + 0.10705012651766282im,-0.01917778074710199 + 0.13355610883345925im,-0.0009077799362294532 + 0.026946832846659677im,-1.8377431246962044e-5 + 0.002255635481094585im","0.010338184455803487 + 0.04303045923516735im,0.003315988767118342 + 0.01430830780832909im,0.001651112746837101 + 0.005157487233628434im,0.00015771706933601803 + 0.001857836799773917im,8.649732728347462e-6 + 0.0002205922282592825im","800,200,200,200,400","-0.00612529094714079 + 0.06826549340670517im,-0.0080552526535007 + 0.08582915662761503im,-0.013660838116261394 + 0.11479356948422996im,-0.0006098242614535333 + 0.024008063513029733im,3.776098660304774e-6 + 0.0026230929834522966im","-0.07648518922033862 - 0.26511328197173245im,-0.018289493558184572 - 0.13346747477242565im,-0.0006131272422177422 - 0.02422161491579851im,-6.614890555447609e-6 - 0.0020739330197497635im,-1.2469246072776286e-7 - 0.00010106852892640849im"
5,4,0.2,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.13237927572269367 + 0.3043139647361036im,-0.32946434742348535 + 0.43367756922311956im,-0.06648819968643202 + 0.19499360714969252im,-0.07783383011801673 + 0.24056997749431042im,-0.03315469935280984 + 0.16002999103164067im","0.047717683783416995 + 0.05079371327017996im,0.0628823904645384 + 0.028066412610284277im,0.01852367707834763 + 0.02902917849254332im,0.010630111035667772 + 0.013569681131577338im,0.004916737074014962 + 0.011759036019108547im","400,200,200,200,200","-0.08630535893485755 + 0.26662945652845016im,-0.22053963084203032 + 0.3999904203750972im,-0.032913146369591445 + 0.1520939675927624im,-0.04951347656534361 + 0.20577912989868402im,-0.021338596304968545 + 0.13802347682965066im","-0.13614895126252474 - 0.3401437741782348im,-0.20079610714908436 - 0.3972231945290568im,-0.12166981049988708 - 0.32445128535434803im,-0.02164607840940701 - 0.14336062642763037im,-0.0014524963645934082 - 0.0358808523189332im"
5,4,0.3,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5760648059889002 + 0.4072127102063011im,-0.3249978944313341 + 0.35342610919104295im,-0.48422205231999027 + 0.42627627743648083im,-0.39939088005109347 + 0.3699093361290772im,-0.18974808759721448 + 0.2940837277714962im","0.11102712373056943 + 0.04131904318324799im,0.09822960333466782 + 0.04926490747920158im,0.05331550632353972 + 0.02272491838920528im,0.06473175127965801 + 0.038501403367352686im,0.03440346580554926 + 0.028458820823984543im","200,200,200,200,200","-0.46681269286196025 + 0.46063083337488764im,-0.21165641408863217 + 0.35604044824652337im,-0.38163793415687974 + 0.45362082789139574im,-0.27597951275812566 + 0.3932635412231028im,-0.115793926370198 + 0.2719566825462866im","-0.3828438828373423 - 0.47551518947173377im,-0.297306699258559 - 0.44888679176407537im,-0.30818617077965754 - 0.4514404849406449im,-0.29693066126528955 - 0.44885959864589153im,-0.1186966510414153 - 0.31753917234265233im"
5,4,0.4,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5721686382203067 + 0.23994804283409965im,-0.6241222104324948 + 0.3234460945154946im,-0.6213846805639514 + 0.22680968387604705im,-0.49162774915962987 + 0.34322975718553095im,-0.6310894145087953 + 0.307866546949829im","0.15136198353812627 + 0.10755067612344112im,0.08675354764248337 + 0.06007396600356774im,0.090716297324585 + 0.0750508796089864im,0.06112981781170842 + 0.04700905247330794im,0.055244713394457426 + 0.048593168682974926im","400,200,200,200,200","-0.5207988695242398 + 0.36259556229744305im,-0.5742049747052159 + 0.41094494511472474im,-0.5595569168763959 + 0.36125685811154234im,-0.42822229159264025 + 0.4109259133776595im,-0.5666952367574243 + 0.4058344349677115im","-0.48022002066038233 - 0.47876009493192134im,-0.5212448773037274 - 0.4728420556608363im,-0.47816970224878513 - 0.4792147561538016im,-0.394956851449856 - 0.46643196664434666im,-0.45354832629993935 - 0.4754699272957756im"
5,4,0.5,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.6171265437437824 + 0.2112627945152024im,-0.6667166581752445 + 0.06656972099148639im,-0.5860297932043287 + 0.2147541096214974im,-0.6966167670902184 + 0.11983286817955434im,-0.5525287468847431 + 0.16911817560792955im","0.10321985240380979 + 0.10776053673452086im,0.08897148992387316 + 0.10191890121943534im,0.07399578931461877 + 0.07681292046271457im,0.06289410536746079 + 0.06978662460341672im,0.06940342716337666 + 0.06859104055211564im","600,3800,400,600,400","-0.6443936343898944 + 0.29095799867407146im,-0.7216010093030827 + 0.160428526010167im,-0.6070536710026797 + 0.29736122120208747im,-0.7323789101579735 + 0.20968850904657269im,-0.5636852676287295 + 0.269426204082879im","-0.6439712823598124 - 0.4200752005944996im,-0.6312091940376133 - 0.4356365530241639im,-0.6027827257931999 - 0.43481981658408464im,-0.6296641567558298 - 0.4350544352703214im,-0.4961235728367219 - 0.45956571822445497im"
5,4,0.6,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.6528993403721092 + 0.008082715771935372im,-0.5601413291755187 + 0.11243440703166688im,-0.6655537426556004 + 0.031967755233349444im,-0.5453831181959992 + 0.08105296955968741im,-0.6525538909344679 + 0.11526408105968836im","0.09070045995166448 + 0.11065245375566163im,0.07960665576526052 + 0.09374997877597625im,0.06759090763597432 + 0.07751665923932341im,0.0672480438922783 + 0.07666918645169601im,0.058962888716465565 + 0.05960011948697631im","5000,1200,5000,1600,600","-0.7162522499077689 + 0.03754001992381083im,-0.6182571226108241 + 0.13635776095953445im,-0.7227100786713221 + 0.06479416248724117im,-0.6065335719375022 + 0.10972305390930624im,-0.696073709388648 + 0.15689403610135197im","-0.7279603798844605 - 0.34882421585856543im,-0.6974294604898708 - 0.3524779790979237im,-0.7270816734662108 - 0.34843930549694796im,-0.651586689900536 - 0.38536611369537366im,-0.7038358056186953 - 0.35621931991371275im"
5,4,0.7,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5196426990818054 + 0.039229522813645334im,-0.6296478843273121 + 0.018704854893373698im,-0.5203434343391755 + 0.023691836763017414im,-0.6246019095618669 + 0.0619211485567713im,-0.5502183391475314 - 0.009046380157116136im","0.08969371152076445 + 0.10351148872806298im,0.07104945202370584 + 0.08222219393097027im,0.07068377066146726 + 0.07962973126075899im,0.06311874714747973 + 0.06959558854834065im,0.06512501013390451 + 0.06869638966140745im","5000,5000,5000,2000,5000","-0.5642174402469244 + 0.03199165152492763im,-0.6693822075335089 + 0.025980117537289422im,-0.5668435062492094 + 0.017906861580326196im,-0.6594296413855871 + 0.06748383034220948im,-0.5990917239936415 - 0.00961165746233265im","-0.7230850893625494 - 0.2754101967739201im,-0.7637938072637341 - 0.25101534549514787im,-0.712645133315155 - 0.29071556410532806im,-0.7539577500131387 - 0.25467908344899254im,-0.6938811666692203 - 0.32268094553557464im"
5,4,0.8,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5907991252194478 + 0.036422424707371934im,-0.5086035165831496 - 0.008505731756261988im,-0.5849903669502237 + 0.049306524214986734im,-0.5280366679891917 - 0.02282213532573898im,-0.5503963332196807 + 0.07210811453539259im","0.07891278423680198 + 0.08837213290366562im,0.07082911751685017 + 0.07791843117077064im,0.06543927238216192 + 0.07016953333515995im,0.06437882666321092 + 0.06831229524199393im,0.06362440798998455 + 0.06233858790853629im","5000,5000,3200,5000,1200","-0.6304829218033016 + 0.037419104063492im,-0.5581937393854424 - 0.020554170701456122im,-0.6223439146477743 + 0.049913019852868216im,-0.5802233072996226 - 0.030997552573234742im,-0.5891598486557376 + 0.06899713486648243im","-0.7521174348685642 - 0.16585885900770161im,-0.7183797786578353 - 0.2134356294989872im,-0.7471332210572583 - 0.1686244052366365im,-0.7167534644985746 - 0.23026248029973273im,-0.7248657923955976 - 0.1890511791505543im"
5,4,0.9,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5178178602217332 - 0.022819927703186863im,-0.5467283344394259 + 0.05241860928209299im,-0.5265362846803882 - 0.026266971074295986im,-0.529083286425935 + 0.05720014275329536im,-0.5558537716473646 - 0.018885990711130653im","0.07780699831556487 + 0.08003628454229654im,0.06739785030863955 + 0.06804946272226058im,0.06491533567679321 + 0.06506561151600225im,0.06269924177413008 + 0.06265455473692132im,0.060254364782358585 + 0.059913597539412694im","5000,2600,5000,2000,5000","-0.53598201965263 - 0.03248766437178004im,-0.5571073367396511 + 0.04668054586260232im,-0.5459574985242329 - 0.03370821807634705im,-0.5385276483525341 + 0.04950742983262072im,-0.5752613200721036 - 0.02191179895759459im","-0.701648480092485 - 0.15528480990772714im,-0.7085269094097498 - 0.10744072760294322im,-0.7039259612862321 - 0.15940897623742797im,-0.6982586367864432 - 0.11983346759736423im,-0.7105337240876943 - 0.16388942851613583im"
5,4,1.0,20.0,1.0,Inf + 0.0im,Inf,1.0,0.2,"-0.5154373752831896 + 0.04349618838189867im,-0.5335807434281643 - 0.017897230352941305im,-0.5091078383485592 + 0.04317440148235164im,-0.5472148899108692 - 0.011089020310956705im,-0.49449874888270096 + 0.02998476543926406im","0.07254686720816836 + 0.07447879086954401im,0.06353544869352216 + 0.0640627490348035im,0.060414576044281916 + 0.05893092753297937im,0.05936096885042682 + 0.05834239323167963im,0.05777674172842895 + 0.05757545597720044im","4600,5000,3000,5000,5000","-0.5213354041907351 + 0.0385279553896665im,-0.5499882289473995 - 0.021914516160066247im,-0.5152915908276298 + 0.03606859758169999im,-0.5621662088587385 - 0.01203013701720882im,-0.5028885864194569 + 0.020743914148136023im","-0.655840796689554 - 0.0795546506570127im,-0.6748781158808688 - 0.1128384127103931im,-0.6526672986246294 - 0.08584772395823417im,-0.6785607801109412 - 0.11181465083668393im,-0.6457873073162449 - 0.1085590860605903im"
